id,reviews,price,stars,yelp_category,state
447752317,3837,0.99,4.5,4.5,Productivity
447791438,10509,1.99,4.5,4.5,Games
447983569,4697,2.99,4.5,4.5,Photo & Video
448142450,27791,0,4.5,4.5,Utilities
448165862,1862,0,4,4,Social Networking
448474423,3820,2.99,4.5,4.5,Health & Fitness
448639966,123433,0,5,5,Photo & Video
449735650,131656,1.99,4.5,4.5,Games
449945214,5748,0,2.5,2.5,Travel
450123799,4922,4.99,4.5,4.5,Reference
450542233,63272,0.99,4.5,4.5,Games
450555662,130,0,2.5,2.5,Music
450722833,1933,0,4.5,4.5,Entertainment
450987651,6,0,3,3,Health & Fitness
451113455,3912,0.99,4.5,4.5,Games
451287325,1092,1.99,4,4,Games
451584035,2436,2.99,4.5,4.5,News
451901829,14,1.99,4,4,Entertainment
452176796,558,0,5,5,Shopping
452186370,1014,0,4,4,Navigation
452830319,4510,0.99,4.5,4.5,Photo & Video
453051448,14724,6.99,4.5,4.5,Games
453174055,85,0,3.5,3.5,Travel
453480684,160,0,4.5,4.5,Health & Fitness
453546382,4676,3.99,4,4,Utilities
453571750,3196,1.99,5,5,Reference
453629018,1,0.99,1,1,Health & Fitness
453670037,0,1.99,0,0,Entertainment
453691481,154,0,4,4,Travel
453718989,5058,0,3.5,3.5,Social Networking
453809428,750,0,3.5,3.5,Food & Drink
454021277,7943,1.99,4.5,4.5,Utilities
454086751,98851,0.99,4.5,4.5,Games
454136236,16,24.99,4,4,Games
454316134,16358,0,4,4,Games
454638411,351466,0,3,3,Social Networking
454781476,79683,0.99,4.5,4.5,Games
454802329,4656,5.99,4.5,4.5,Games
454958810,7289,1.99,4.5,4.5,Games
454988262,23,0,3.5,3.5,Entertainment
455256615,60,0,4,4,Games
455612214,24744,0,4.5,4.5,Business
455650341,24880,0.99,4.5,4.5,Games
455826958,3716,0.99,4,4,Games
456229650,338,0,3.5,3.5,Entertainment
456355158,28153,0,4,4,Games
456726080,609,0,2.5,2.5,Education
457446957,405647,0,4.5,4.5,Games
457517348,32558,0,5,5,Photo & Video
457561360,999,1.99,4.5,4.5,Reference
457687954,8580,2.99,4.5,4.5,Games
457876088,9725,0,5,5,Shopping
458225159,15809,1.99,5,5,Weather
458272450,11124,0,2.5,2.5,Social Networking
458318329,613,0,4,4,Entertainment
458535809,1138,2.99,4.5,4.5,Education
458587755,774,0,4.5,4.5,Entertainment
458813562,358,2.99,3.5,3.5,Games
459023164,68,0,4,4,Shopping
459035295,14104,0,4.5,4.5,Games
459189186,7919,4.99,4.5,4.5,Games
459313476,562,3.99,5,5,Music
459660048,242,3.99,4,4,Games
460177396,109549,0,4.5,4.5,Entertainment
460494135,6856,0,2,2,Entertainment
460712294,8025,0,4.5,4.5,Games
461123279,234,4.99,4.5,4.5,Games
461218759,879,3.99,4.5,4.5,Music
461390784,880,1.99,3.5,3.5,Games
461504587,2793,0,4.5,4.5,Productivity
461703208,1040,0,4.5,4.5,Navigation
462125072,33,0,3.5,3.5,Utilities
462134755,54,3.99,4,4,Education
462155908,2485,1.99,4.5,4.5,Photo & Video
462397814,2101,4.99,4.5,4.5,Games
462638897,90496,0,4,4,Health & Fitness
462780547,4050,0,2,2,Entertainment
463142843,5,2.99,4,4,Entertainment
463240522,685,0,4,4,Travel
463295925,0,4.99,0,0,Education
463422433,2150,0,4.5,4.5,Photo & Video
463431091,5,0,3,3,Navigation
463630399,49816,0,4.5,4.5,Lifestyle
463869460,4498,0.99,4,4,Games
464235764,199,2.99,3.5,3.5,Education
464309202,2417,0,3,3,News
464352883,2286,0,2.5,2.5,Education
464660903,1646,0,4.5,4.5,Photo & Video
465092669,15554,0,3.5,3.5,Sports
465173198,210,2.99,3,3,Health & Fitness
465694275,6534,0,4.5,4.5,Games
466252999,311,3.99,4.5,4.5,Food & Drink
466710109,54073,0.99,5,5,Games
466965151,446880,0,4.5,4.5,Games
467067151,383,0,4.5,4.5,Lifestyle
467329677,1854,0,3.5,3.5,Education
467703220,1915,1.99,4,4,Games
467738064,6408,0,4,4,Shopping
467923185,561,3.99,4,4,Music
467953363,123,2.99,4,4,Weather
468090416,875,5.99,4.5,4.5,Business
468401854,7973,0.99,4,4,News
468429333,3800,4.99,4.5,4.5,Health & Fitness
468564994,264,2.99,4.5,4.5,Games
468566852,135,4.99,4.5,4.5,Games
468674094,204,3.99,4,4,News
468996152,57348,0,4.5,4.5,Shopping
469024771,240,0.99,4.5,4.5,Finance
469284907,9819,0,4.5,4.5,Productivity
469337564,20069,0,4,4,Business
469338840,132,0.99,4,4,Travel
469343097,3099,4.99,4.5,4.5,Games
469369175,677247,0,4.5,4.5,Games
469610082,3883,0.99,4,4,Games
469622080,11,0.99,4,4,Education
469863705,5459,0,4,4,Education
469960709,221002,0,4,4,Games
469964520,17,0,4.5,4.5,Finance
470412139,168,4.99,4,4,Games
470412147,18035,0,4.5,4.5,Shopping
470578793,2504,1.99,4.5,4.5,Photo & Video
